# date	semester	announcements (separate multiple announcements with ` || `)
2026-11-11	semester-1	**Submission cutoff for this reporting cycle:** today is the last day to submit outstanding work if you want me to have two school/contact days to assess it before All Mid-Term Report Card Data Due on Friday, November 13, 2026.
2026-11-12	semester-1	
2026-11-13	semester-1	**Reporting deadline today:** All Mid-Term Report Card Data Due (No later than 2:45 PM). Work submitted after the announced cutoff may not appear in this reporting update.
2026-11-16	semester-1	**Coming up in 2 school days:** Mid-Term Report Card Distribution (1:00-2:45 PM).
2026-11-17	semester-1	
2026-11-18	semester-1	**Today:** Mid-Term Report Card Distribution (1:00-2:45 PM).
2026-11-19	semester-1	**Tomorrow is a half day.** Classes run 8:30 AM-11:05 AM.
2026-11-20	semester-1	**Half day today:** Period 1 8:30-9:05; Period 2 9:10-9:45; Period 3 9:50-10:25; Period 4 10:30-11:05. Dismissal 11:05 AM. || **Faith & Creed calendar:** Birth of Guru Nanak (Sikhism) - Red Dot is Tuesday, November 24, 2026. Avoid major evaluated events or due dates on a Red Dot day.
2026-11-23	semester-1	
2026-11-24	semester-1	**Coming up in 2 school days:** Photo Re-Take Day (9:00-9:30 AM). || **Faith & Creed calendar today:** Birth of Guru Nanak (Sikhism) - Red Dot. No major evaluated events or due dates should be scheduled today.
2026-11-25	semester-1	
2026-11-26	semester-1	**Today:** Photo Re-Take Day (9:00-9:30 AM).
2026-11-27	semester-1	
2026-11-30	semester-1	
2026-12-01	semester-1	
2026-12-02	semester-1	
2026-12-03	semester-1	
2026-12-04	semester-1	
2026-12-07	semester-1	
2026-12-08	semester-1	**Coming up in 2 school days:** Winter Concert (7:00-9:00 PM).
2026-12-09	semester-1	
2026-12-10	semester-1	**Today:** Winter Concert (7:00-9:00 PM).
2026-12-11	semester-1	
2026-12-14	semester-1	
2026-12-15	semester-1	
2026-12-16	semester-1	
2026-12-17	semester-1	**Coming up:** Winter Break begins through Friday, January 1, 2027. || **Faith & Creed calendar:** Yule / Winter Solstice (Wicca / Indigenous Worldview) - Red Dot / Open Dot is Monday, December 21, 2026.
2026-12-18	semester-1	**Reminder:** Winter Break begins through Friday, January 1, 2027. Classes resume Monday, January 4, 2027. || **Faith & Creed reminder:** Yule / Winter Solstice (Wicca / Indigenous Worldview) - Red Dot / Open Dot is Monday, December 21, 2026. The observance begins at sunset before the listed date.
2027-01-04	semester-1	
2027-01-05	semester-1	
2027-01-06	semester-1	
2027-01-07	semester-1	
2027-01-08	semester-1	
2027-01-11	semester-1	
2027-01-12	semester-1	
2027-01-13	semester-1	
2027-01-14	semester-1	
2027-01-15	semester-1	
2027-01-18	semester-1	**Exam period in 7 school days:** Semester 1 Exam Period begins through Tuesday, February 2, 2027. Start checking that required work and evidence are complete.
2027-01-19	semester-1	
2027-01-20	semester-1	
2027-01-21	semester-1	
2027-01-22	semester-1	
2027-01-25	semester-1	**Exam period in 2 school days:** Semester 1 Exam Period begins through Tuesday, February 2, 2027. || **Coming up:** Semester Turnaround PA Day. || **Reporting cycle:** All Semester 1 Final Report Card Data Due is Thursday, February 4, 2027 (No later than 2:45 PM). Check missing or incomplete work now. There are 7 school/contact days until marks are due.
2027-01-26	semester-1	**Exam period begins next school day:** Semester 1 Exam Period begins through Tuesday, February 2, 2027. || **Reminder:** Semester Turnaround PA Day.
2027-02-04	semester-2	**Reporting deadline today:** All Semester 1 Final Report Card Data Due (No later than 2:45 PM). Work submitted after the announced cutoff may not appear in this reporting update. || **Faith & Creed calendar:** Lunar New Year (Buddhism) - Red Dot is Saturday, February 6, 2027.
2027-02-05	semester-2	**Faith & Creed reminder:** Lunar New Year (Buddhism) - Red Dot is Saturday, February 6, 2027.
2027-02-08	semester-2	**Coming up in 2 school days:** Semester 1 Final Report Card Distribution (1:00-2:45 PM).
2027-02-09	semester-2	
2027-02-10	semester-2	**Today:** Semester 1 Final Report Card Distribution (1:00-2:45 PM). || **Coming up:** PL Day - no school for students. || **Coming up:** Family Day - no school.
2027-02-11	semester-2	**Reminder:** PL Day - no school for students. || **Reminder:** Family Day - no school.
2027-02-16	semester-2	
2027-02-17	semester-2	
2027-02-18	semester-2	**Coming up in 2 school days:** Grad Photos begin [Graduating students].
2027-02-19	semester-2	
2027-02-22	semester-2	**Today:** Grad Photos begin [Graduating students].
2027-02-23	semester-2	
2027-02-24	semester-2	
2027-02-25	semester-2	
2027-02-26	semester-2	
2027-03-01	semester-2	
2027-03-02	semester-2	
2027-03-03	semester-2	
2027-03-04	semester-2	
2027-03-05	semester-2	
2027-03-08	semester-2	**Faith & Creed calendar:** Eid-ul-Fitr (Islam) - Red Dot / date may vary +/- 1 day is Wednesday, March 10, 2027. Avoid major evaluated events or due dates on a Red Dot day.
2027-03-09	semester-2	
2027-03-10	semester-2	**Faith & Creed calendar today:** Eid-ul-Fitr (Islam) - Red Dot / date may vary +/- 1 day. No major evaluated events or due dates should be scheduled today.
2027-03-11	semester-2	**Tomorrow is a half day.** Classes run 8:30 AM-11:05 AM. || **Coming up:** Spring Break begins through Friday, March 19, 2027.
2027-03-12	semester-2	**Half day today:** Period 1 8:30-9:05; Period 2 9:10-9:45; Period 3 9:50-10:25; Period 4 10:30-11:05. Dismissal 11:05 AM. || **Reminder:** Spring Break begins through Friday, March 19, 2027. Classes resume Monday, March 22, 2027.
2027-03-22	semester-2	
2027-03-23	semester-2	
2027-03-24	semester-2	**Coming up:** Good Friday - no school. || **Coming up:** Easter Monday - no school. || **Faith & Creed calendar:** Khordad Sal (FC) (Zoroastrianism) - Red Dot / Open Dot is Friday, March 26, 2027. || **Faith & Creed calendar:** Good Friday (Christianity (Gregorian)) - Red Dot is Friday, March 26, 2027.
2027-03-25	semester-2	**Reminder:** Good Friday - no school. || **Reminder:** Easter Monday - no school. || **Faith & Creed reminder:** Khordad Sal (FC) (Zoroastrianism) - Red Dot / Open Dot is Friday, March 26, 2027. The observance begins at sunset before the listed date. || **Faith & Creed reminder:** Good Friday (Christianity (Gregorian)) - Red Dot is Friday, March 26, 2027.
2027-03-30	semester-2	
2027-03-31	semester-2	
2027-04-01	semester-2	
2027-04-02	semester-2	
2027-04-05	semester-2	
2027-04-06	semester-2	
2027-04-07	semester-2	
2027-04-08	semester-2	
2027-04-09	semester-2	**Faith & Creed calendar:** Theravada New Year (Buddhism) - Red Dot is Tuesday, April 13, 2027. Avoid major evaluated events or due dates on a Red Dot day.
2027-04-12	semester-2	**Faith & Creed calendar:** Vaisakhi (Sikhism) - Red Dot is Wednesday, April 14, 2027. Avoid major evaluated events or due dates on a Red Dot day.
2027-04-13	semester-2	**Faith & Creed calendar today:** Theravada New Year (Buddhism) - Red Dot. No major evaluated events or due dates should be scheduled today.
2027-04-14	semester-2	**Faith & Creed calendar today:** Vaisakhi (Sikhism) - Red Dot. No major evaluated events or due dates should be scheduled today.
2027-04-15	semester-2	**Tomorrow is a half day.** Classes run 8:30 AM-11:05 AM.
2027-04-16	semester-2	**Half day today:** Period 1 8:30-9:05; Period 2 9:10-9:45; Period 3 9:50-10:25; Period 4 10:30-11:05. Dismissal 11:05 AM.
2027-04-19	semester-2	**Faith & Creed calendar:** First Day of Ridvan (Bahá'í) - Red Dot / Open Dot is Wednesday, April 21, 2027. Avoid major evaluated events or due dates on a Red Dot day.
2027-04-20	semester-2	**Open Dot reminder:** First Day of Ridvan (Bahá'í) - Red Dot / Open Dot is tomorrow. The observance begins at sunset this evening; avoid evening events.
2027-04-21	semester-2	**Faith & Creed calendar today:** First Day of Ridvan (Bahá'í) - Red Dot / Open Dot. No major evaluated events or due dates should be scheduled today.
2027-04-22	semester-2	
2027-04-23	semester-2	
2027-04-26	semester-2	
2027-04-27	semester-2	
2027-04-28	semester-2	**Faith & Creed calendar:** Good Friday (Christianity (Julian)) - Red Dot is Friday, April 30, 2027. Avoid major evaluated events or due dates on a Red Dot day.
2027-04-29	semester-2	
2027-04-30	semester-2	**Faith & Creed calendar today:** Good Friday (Christianity (Julian)) - Red Dot. No major evaluated events or due dates should be scheduled today.
2027-05-03	semester-2	
2027-05-04	semester-2	
2027-05-05	semester-2	
2027-05-06	semester-2	
2027-05-07	semester-2	
2027-05-10	semester-2	
2027-05-11	semester-2	
2027-05-12	semester-2	
2027-05-13	semester-2	**Faith & Creed calendar:** Eid-ul-Adha (Islam) - Red Dot / date may vary +/- 1 day is Monday, May 17, 2027. Avoid major evaluated events or due dates on a Red Dot day.
2027-05-14	semester-2	
2027-05-17	semester-2	**Faith & Creed calendar today:** Eid-ul-Adha (Islam) - Red Dot / date may vary +/- 1 day. No major evaluated events or due dates should be scheduled today.
2027-05-18	semester-2	**Coming up in 2 school days:** Spring Concert (7:00-9:00 PM).
2027-05-19	semester-2	
2027-05-20	semester-2	**Today:** Spring Concert (7:00-9:00 PM). || **Coming up:** Victoria Day - no school.
2027-05-21	semester-2	**Reminder:** Victoria Day - no school.
2027-05-25	semester-2	
2027-05-26	semester-2	
2027-05-27	semester-2	
2027-05-28	semester-2	
2027-05-31	semester-2	
2027-06-01	semester-2	
2027-06-02	semester-2	
2027-06-03	semester-2	
2027-06-04	semester-2	
2027-06-07	semester-2	
2027-06-08	semester-2	
2027-06-09	semester-2	
2027-06-10	semester-2	**Exam period in 7 school days:** Semester 2 Exam Period begins through Friday, June 25, 2027. Start checking that required work and evidence are complete.
2027-06-11	semester-2	
2027-06-14	semester-2	
2027-06-15	semester-2	
2027-06-16	semester-2	
2027-06-17	semester-2	**Exam period in 2 school days:** Semester 2 Exam Period begins through Friday, June 25, 2027. || **Faith & Creed calendar:** Summer Solstice (Wicca) - Red Dot / Open Dot is Monday, June 21, 2027. || **Faith & Creed calendar:** National Indigenous Peoples Day (Indigenous Worldview) - Red Dot is Monday, June 21, 2027.
2027-06-18	semester-2	**Exam period begins next school day:** Semester 2 Exam Period begins through Friday, June 25, 2027. || **Coming up:** PA Days for Grade 9-12 begin through Wednesday, June 30, 2027. || **Faith & Creed reminder:** Summer Solstice (Wicca) - Red Dot / Open Dot is Monday, June 21, 2027. The observance begins at sunset before the listed date. || **Faith & Creed reminder:** National Indigenous Peoples Day (Indigenous Worldview) - Red Dot is Monday, June 21, 2027.
